Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment,Name
C4,100nF,C0603,62.992mm,37.592mm,62.992mm,37.592mm,62.292mm,37.592mm,2,T,0,Yes,100nF,100nF
C5,100nF,C0603,62.865mm,34.544mm,62.865mm,34.544mm,62.165mm,34.544mm,2,T,0,Yes,100nF,100nF
C6,100nF,C0603,62.865mm,31.496mm,62.865mm,31.496mm,62.165mm,31.496mm,2,T,0,Yes,100nF,100nF
CARD1,SD-006M,SD-SMD_SD-006M,68.199mm,54.61mm,68.199mm,54.61mm,61.418mm,43.635mm,13,T,180,Yes,SD-006M,SD-006M
LED1,12-215SYGC/S530-E2/TR8,LED-SMD_12-215SYGC-S530-E2-TR8,17.653mm,25.273mm,17.653mm,25.273mm,18.703mm,25.271mm,2,T,0,Yes,12-215SYGC/S530-E2/TR8,12-215SYGC/S530-E2/TR8
R1,220Ω,R0603,37.719mm,25.4mm,37.719mm,25.4mm,36.966mm,25.4mm,2,T,0,Yes,220Ω,220Ω
USB1,AM90,USB-AM-TH_AM90,67.818mm,25.146mm,67.818mm,25.146mm,71.318mm,26.146mm,6,T,0,No,AM90,AM90
U1,GL823K-HCY04,SSOP-16_L4.9-W3.9-P0.64-LS6.0-BL,68.326mm,34.29mm,68.326mm,34.29mm,70.549mm,36.945mm,16,T,180,Yes,GL823K-HCY04,GL823K-HCY04
C2,CL21A106KAYNNNE_C15850,C0805,74.041mm,34.925mm,74.041mm,34.925mm,73.041mm,34.925mm,2,T,0,Yes,10uF,10uF
C3,CL21A106KAYNNNE_C15850,C0805,74.041mm,31.369mm,74.041mm,31.369mm,73.041mm,31.369mm,2,T,0,Yes,10uF,10uF
C1,CL21A106KAYNNNE_C15850,C0805,73.914mm,38.227mm,73.914mm,38.227mm,72.914mm,38.227mm,2,T,0,Yes,10uF,10uF
