Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",83.000000,-82.300000,180.000000,top
"C2","10uF","C_0805_2012Metric",83.000000,-84.500000,180.000000,top
"C3","10uF","C_0805_2012Metric",83.000000,-77.900000,180.000000,top
"C4","100nF","C_0603_1608Metric",86.500000,-87.400000,-90.000000,top
"C5","100nF","C_0603_1608Metric",84.500000,-87.400000,-90.000000,top
"C6","100nF","C_0603_1608Metric",88.500000,-87.400000,-90.000000,top
"C7","100nF","C_0603_1608Metric",88.000000,-75.600000,-90.000000,top
"C8","100nF","C_0603_1608Metric",83.000000,-80.100000,180.000000,top
"CARD1","SD-006M","SD-006M",88.300000,-60.901000,180.000000,top
"LED1","12-215SYGC","LED-12-215SYGC",36.000000,-94.000000,0.000000,top
"R1","220","R_0603_1608Metric",56.000000,-94.000000,0.000000,top
"U1","GL823K-HCY04","SSOP-16_3.9x4.9mm_P0.635mm",88.300000,-82.000000,-90.000000,top
"USB1","AM90","USB-AM90",88.300000,-94.854000,0.000000,top
